Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002964
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002980
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002993
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003022
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003033
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.003046
End: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.003065
Start: N=4, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.003082
Start: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003100
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003113
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003133
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003143
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003156
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003170
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003175
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003191
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.003231
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003236
Start: N=2, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003256
Start: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=2, Cur_Time=0.003276
End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=2, Cur_Time=0.003292
Start: N=0, Current_CPU=1, Previous_CPU=001111, Pre_N=2, Cur_Time=0.003297
End: N=0, Current_CPU=1, Previous_CPU=001111, Pre_N=2, Cur_Time=0.003311
End: N=2, Current_CPU=1, Previous_CPU=00111, Pre_N=4, Cur_Time=0.003317
End: N=4, Current_CPU=1, Previous_CPU=0011, Pre_N=6, Cur_Time=0.003334
End: N=6, Current_CPU=1, Previous_CPU=001, Pre_N=8, Cur_Time=0.003358
End: N=8, Current_CPU=1, Previous_CPU=00, Pre_N=10, Cur_Time=0.003377
Start: N=5, Current_CPU=1, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003406
Start: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.003427
Start: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.003444
Start: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.003468
Start: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.003488
End: N=1, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.003499
Start: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.003512
End: N=0, Current_CPU=1, Previous_CPU=00001111, Pre_N=2, Cur_Time=0.003518
End: N=2, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.003532
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.003551
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=3, Cur_Time=0.003556
End: N=3, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.003570
Start: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.003589
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003608
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003613
Start: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003618
End: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003637
End: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=4, Cur_Time=0.003649
End: N=4, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.003663
Start: N=3, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.003681
Start: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.003699
Start: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003719
End: N=1, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003733
Start: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003747
End: N=0, Current_CPU=1, Previous_CPU=0000111, Pre_N=2, Cur_Time=0.003785
End: N=2, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.003795
Start: N=1, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.003809
End: N=1, Current_CPU=1, Previous_CPU=000011, Pre_N=3, Cur_Time=0.003820
End: N=3, Current_CPU=1, Previous_CPU=00001, Pre_N=5, Cur_Time=0.003833
End: N=5, Current_CPU=1, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003851
Start: N=0, Current_CPU=1, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003916
End: N=0, Current_CPU=1, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003931
