End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003051
End: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003056
Start: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003073
Start: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003091
End: N=1, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003105
Start: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003119
End: N=0, Current_CPU=0, Previous_CPU=0000000, Pre_N=2, Cur_Time=0.003124
End: N=2, Current_CPU=0, Previous_CPU=000000, Pre_N=4, Cur_Time=0.003137
End: N=4, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003151
End: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=8, Cur_Time=0.003170
End: N=8, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.003183
Start: N=7, Current_CPU=0, Previous_CPU=000, Pre_N=9, Cur_Time=0.003213
Start: N=6, Current_CPU=0, Previous_CPU=0000, Pre_N=7, Cur_Time=0.003247
Start: N=5, Current_CPU=0, Previous_CPU=00000, Pre_N=6, Cur_Time=0.003266
Start: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003287
Start: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003307
Start: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003326
Start: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003343
End: N=1, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003349
Start: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003363
End: N=0, Current_CPU=0, Previous_CPU=000000000, Pre_N=2, Cur_Time=0.003368
End: N=2, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003382
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003390
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=3, Cur_Time=0.003411
End: N=3, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003415
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003435
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003453
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003458
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003473
End: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003478
End: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=4, Cur_Time=0.003493
End: N=4, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003507
Start: N=3, Current_CPU=0, Previous_CPU=000000, Pre_N=5, Cur_Time=0.003527
Start: N=2, Current_CPU=0, Previous_CPU=0000000, Pre_N=3, Cur_Time=0.003542
Start: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003565
End: N=1, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003575
Start: N=0, Current_CPU=0, Previous_CPU=00000000, Pre_N=2, Cur_Time=0.003580
