End: N=1, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002477
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002485
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002492
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002497
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002501
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002504
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=3, Cur_Time=0.002509
End: N=3, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002516
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002522
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002529
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002535
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002539
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002543
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002546
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002551
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002558
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002565
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002568
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002572
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002579
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002582
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002586
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002590
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002594
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002602
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=5, Cur_Time=0.002609
End: N=5, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.002746
Start: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.002760
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.002767
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002774
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002780
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002784
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002815
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.002819
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002824
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002830
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002837
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002841
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002849
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002857
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002861
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002865
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.002868
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002873
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.002880
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.002887
Start: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.002975
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.002983
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002990
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002993
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.002997
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003004
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003008
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003011
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003015
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003019
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003026
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003033
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003039
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003046
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003049
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003053
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003057
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003062
Start: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003069
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003075
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003079
Start: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003083
Start: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003089
End: N=0, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003093
Start: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003097
End: N=1, Current_CPU=1, Previous_CPU=001111111, Pre_N=2, Cur_Time=0.003100
End: N=2, Current_CPU=1, Previous_CPU=00111111, Pre_N=3, Cur_Time=0.003105
End: N=3, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003112
End: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003119
End: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003276
End: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=7, Cur_Time=0.003293
End: N=7, Current_CPU=1, Previous_CPU=001, Pre_N=9, Cur_Time=0.003307
Start: N=8, Current_CPU=1, Previous_CPU=001, Pre_N=9, Cur_Time=0.003320
Start: N=6, Current_CPU=1, Previous_CPU=0011, Pre_N=8, Cur_Time=0.003327
Start: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003333
Start: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003340
Start: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003372
End: N=0, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003380
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003388
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=2, Cur_Time=0.003392
End: N=2, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003397
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003404
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003411
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003416
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003420
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003426
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003430
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003450
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003455
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003460
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=4, Cur_Time=0.003468
End: N=4, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003564
Start: N=5, Current_CPU=1, Previous_CPU=00111, Pre_N=6, Cur_Time=0.003579
Start: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003587
Start: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003594
End: N=1, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003598
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003602
Start: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003609
End: N=0, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003613
Start: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003617
End: N=1, Current_CPU=1, Previous_CPU=00111111, Pre_N=2, Cur_Time=0.003621
End: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=3, Cur_Time=0.003626
End: N=3, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003633
Start: N=4, Current_CPU=1, Previous_CPU=001111, Pre_N=5, Cur_Time=0.003640
Start: N=2, Current_CPU=1, Previous_CPU=0011111, Pre_N=4, Cur_Time=0.003648
