End: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002000
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002015
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002030
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002047
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002056
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002065
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002074
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002092
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002107
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002116
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002124
End: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002163
Start: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002177
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002201
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002216
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002231
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002240
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002248
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002258
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002267
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002280
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002288
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002297
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002311
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.002327
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.002335
Start: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.002344
End: N=0, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.002353
End: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002361
End: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002374
End: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=8, Cur_Time=0.002387
End: N=8, Current_CPU=1, Previous_CPU=101, Pre_N=9, Cur_Time=0.002400
Start: N=7, Current_CPU=1, Previous_CPU=101, Pre_N=9, Cur_Time=0.002414
Start: N=6, Current_CPU=1, Previous_CPU=1011, Pre_N=7, Cur_Time=0.002429
Start: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002445
Start: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002461
Start: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.002476
Start: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.002490
Start: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.002505
End: N=1, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.002513
Start: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.002521
End: N=0, Current_CPU=1, Previous_CPU=101111111, Pre_N=2, Cur_Time=0.002531
End: N=2, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.002539
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.002579
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=3, Cur_Time=0.002588
End: N=3, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.002619
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.002633
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002647
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002682
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002691
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002699
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=4, Cur_Time=0.002708
End: N=4, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002722
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002735
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002751
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002766
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002774
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002783
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002792
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002800
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002816
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002824
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=5, Cur_Time=0.002842
End: N=5, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002857
Start: N=4, Current_CPU=1, Previous_CPU=10111, Pre_N=6, Cur_Time=0.002871
Start: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002887
Start: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002904
Start: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002920
End: N=1, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002929
Start: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002938
End: N=0, Current_CPU=1, Previous_CPU=10111111, Pre_N=2, Cur_Time=0.002948
End: N=2, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002956
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002970
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=3, Cur_Time=0.002980
End: N=3, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.002989
Start: N=2, Current_CPU=1, Previous_CPU=101111, Pre_N=4, Cur_Time=0.003003
Start: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003018
End: N=1, Current_CPU=1, Previous_CPU=1011111, Pre_N=2, Cur_Time=0.003026
