End: N=5, Current_CPU=0, Previous_CPU=0011, Pre_N=6, Cur_Time=0.030810
Start: N=3, Current_CPU=0, Previous_CPU=00111, Pre_N=4, Cur_Time=0.030850
Start: N=1, Current_CPU=0, Previous_CPU=0011101, Pre_N=2, Cur_Time=0.031399
End: N=1, Current_CPU=0, Previous_CPU=0011101, Pre_N=2, Cur_Time=0.031406
Start: N=0, Current_CPU=0, Previous_CPU=0011101, Pre_N=2, Cur_Time=0.031418
End: N=0, Current_CPU=0, Previous_CPU=0011101, Pre_N=2, Cur_Time=0.031424
End: N=3, Current_CPU=0, Previous_CPU=00111, Pre_N=4, Cur_Time=0.031938
Start: N=1, Current_CPU=0, Previous_CPU=001111, Pre_N=2, Cur_Time=0.031968
End: N=1, Current_CPU=0, Previous_CPU=001111, Pre_N=2, Cur_Time=0.031973
Start: N=0, Current_CPU=0, Previous_CPU=001111, Pre_N=2, Cur_Time=0.031979
End: N=0, Current_CPU=0, Previous_CPU=001111, Pre_N=2, Cur_Time=0.031984
End: N=10, Current_CPU=0, Previous_CPU=0, Pre_N=-1, Cur_Time=0.032698
