End: N=1, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002444
Start: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002453
End: N=0, Current_CPU=1, Previous_CPU=000111111, Pre_N=2, Cur_Time=0.002457
End: N=2, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002461
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002469
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=3, Cur_Time=0.002473
End: N=3, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002477
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002484
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002492
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002496
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002501
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002505
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=4, Cur_Time=0.002510
End: N=4, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002518
Start: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002526
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002533
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002540
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002544
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002548
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002552
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002558
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002566
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002570
End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=5, Cur_Time=0.002575
End: N=5, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002583
Start: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002591
Start: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.002610
Start: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002617
Start: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002624
End: N=1, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002802
Start: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002811
End: N=0, Current_CPU=1, Previous_CPU=00011111, Pre_N=2, Cur_Time=0.002816
End: N=2, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002824
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002833
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=3, Cur_Time=0.002837
End: N=3, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.002842
Start: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.002850
Start: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.002857
End: N=1, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.002861
Start: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.002866
End: N=0, Current_CPU=1, Previous_CPU=0001111, Pre_N=2, Cur_Time=0.002870
End: N=2, Current_CPU=1, Previous_CPU=000111, Pre_N=4, Cur_Time=0.002878
End: N=4, Current_CPU=1, Previous_CPU=00011, Pre_N=6, Cur_Time=0.002886
End: N=6, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.002974
Start: N=5, Current_CPU=1, Previous_CPU=0001, Pre_N=7, Cur_Time=0.002988
